_id,District,Station,Rainfall,Date
1,Chennai,Chennai port trust,10,1993-03-03T00:00:00
2,Chennai,Chennai port trust,10,1993-03-03T00:00:00
3,Chennai,Sholinganallur,2,1993-03-03T00:00:00
4,Chennai,Chennai nungambakkam,2,1993-03-03T00:00:00
5,Chennai,Sholinganallur,46.1,1993-05-16T00:00:00
6,Chennai,Chennai nungambakkam,46.1,1993-05-16T00:00:00
7,Chennai,Chennai port trust,46,1993-05-16T00:00:00
8,Chennai,Chennai port trust,46,1993-05-16T00:00:00
9,Chennai,Sholinganallur,11.5,1993-05-27T00:00:00
10,Chennai,Chennai nungambakkam,11.5,1993-05-27T00:00:00
11,Chennai,Chennai port trust,8,1993-05-27T00:00:00
12,Chennai,Chennai port trust,8,1993-05-27T00:00:00
13,Chennai,Sholinganallur,0.5,1993-05-28T00:00:00
14,Chennai,Chennai nungambakkam,0.5,1993-05-28T00:00:00
15,Chennai,Sholinganallur,3.6,1993-04-06T00:00:00
16,Chennai,Chennai nungambakkam,3.6,1993-04-06T00:00:00
17,Chennai,Chennai port trust,2,1993-04-06T00:00:00
18,Chennai,Chennai port trust,2,1993-04-06T00:00:00
19,Chennai,Sholinganallur,31.6,1993-09-06T00:00:00
20,Chennai,Chennai nungambakkam,31.6,1993-09-06T00:00:00
21,Chennai,Chennai port trust,21,1993-09-06T00:00:00
22,Chennai,Chennai port trust,21,1993-09-06T00:00:00
23,Chennai,Sholinganallur,7.6,1993-06-13T00:00:00
24,Chennai,Chennai nungambakkam,7.6,1993-06-13T00:00:00
25,Chennai,Chennai port trust,3.1,1993-06-13T00:00:00
26,Chennai,Chennai port trust,3.1,1993-06-13T00:00:00
27,Chennai,Sholinganallur,2.8,1993-06-14T00:00:00
28,Chennai,Chennai nungambakkam,2.8,1993-06-14T00:00:00
29,Chennai,Chennai port trust,1.8,1993-06-14T00:00:00
30,Chennai,Chennai port trust,1.8,1993-06-14T00:00:00
31,Chennai,Chennai port trust,4.8,1993-06-15T00:00:00
32,Chennai,Chennai port trust,4.8,1993-06-15T00:00:00
33,Chennai,Sholinganallur,3.7,1993-06-15T00:00:00
34,Chennai,Chennai nungambakkam,3.7,1993-06-15T00:00:00
35,Chennai,Sholinganallur,0.1,1993-06-21T00:00:00
